popular
"Popular Some of the most popular offerings from this restaurant Margherita Pizza  Cheese & tomato Vegetarian Vegetarian 10""£9.00 + Cheeseburger  Half Pounder£4.00 + Donner Kebab  Medium£5.50 + Deal 1  One medium (10"") pizza with 4 toppings Any 1 side order from: chips, roly poly, coleslaw, garlic bread or onion rings (8 pieces) 1 Soft drink £7.80 + Burger Meal  Any burger Fries Can of drink Double£5.50 + "
"Special Offers Deal 1  One medium (10"") pizza with 4 toppings Any 1 side order from: chips, roly poly, coleslaw, garlic bread or onion rings (8 pieces) 1 Soft drink £7.80 + Deal 2  Two medium (10"") pizza with 4 toppings Any 2 side order from: chips, roly poly, coleslaw, garlic bread or onion rings (8 pieces) 2 Soft drinks £14.50 + Deal 3  Three medium (10"") pizza with 4 toppings Any 3 side order from: chips, roly poly, coleslaw, garlic bread or onion rings (8 pieces) 3 Soft drinks £19.50 + Deal 4  Four medium (10"") pizza with 4 toppings Any 4 side order from: chips, roly poly, coleslaw, garlic bread or onion rings (8 pieces) 4 Soft drinks Please write your 3 chosen drinks at the comment box £24.50 + Deal 5  Large pizza (12"") with 3 toppings Any 2 side order from: chips, roly poly, coleslaw, garlic bread or onion rings (8 pieces) 2 Soft drinks £11.50 + Deal 6  Two large (12"") with 4 toppings Any 3 side order from: chips, roly poly, coleslaw, garlic bread or onion rings (8 pieces) 3 Soft drinks £19.50 + Deal 7  X-Large pizza (15"") with 4 toppings Any 2 side order from: chips, roly poly, coleslaw, garlic bread or onion rings (8 pieces) 2 Soft drinks £13.50 + Deal 8  Two x-large pizza (15"") with 4 toppings Any 4 side order from: chips, roly poly, coleslaw, garlic bread or onion rings (8 pieces) 4 Soft drink Please write your 4th chosen drink at the comments box £24.50 + Deal 9  Mix & Match Any medium kebab (excluding shish) 10"" pizza with 4 toppings Any 2 side order from: chips, roly poly, coleslaw, garlic bread or onion rings (8 pieces) 2 Soft drinks £13.50 + Burger Meal  Any burger Fries Can of drink Double£5.50 + Single£4.50 + Kebab Meal  Any medium kebabs (excluding shish), fries & a can of drink £6.00 + Mixed Meal  2 Medium kebabs (donner kebab or chicken donner), 2 x quarter pounder burgers, 4 chips & 4 cans £19.00 + 2 x Pizzas  2 x Pizzas with 4 toppings, 2 medium kebabs (excluding shish kebab), 4 chips & 4 cans of drink 10""£20.00 + 12""£25.00 + 15""£30.00 + Any 1 Pizza  From set menu 10""£6.70 + 12""£8.00 + 15""£9.50 + Wrap Meal  Any roly poly Chips Can of drink £4.50 + "
"Pizzas Buy 1 get 1 free All pizzas are made using fresh & daily prepared dough Choose from tomato, BBQ or garlic base  10"" - Medium 12"" - Large 15"" - X-Large  Stuffed crust & extra toppings are available Margherita Pizza  Cheese & tomato Vegetarian Vegetarian 10""£9.00 + 12""£11.00 + 15""£13.00 + Real Pizza  Ham & mushroom 10""£11.00 + 12""£13.00 + 15""£16.00 + Hawaiian Pizza  Turkey ham & pineapple 10""£11.00 + 12""£13.00 + 15""£16.00 + Pepperoni Pizza  Extra cheese & extra pepperoni 10""£11.00 + 12""£13.00 + 15""£16.00 + American Pizza  Mushroom & pepperoni 10""£11.00 + 12""£13.00 + 15""£16.00 + Vegetarian Pizza  Onion, mixed peppers, mushroom & sweetcorn Vegetarian Vegetarian 10""£12.00 + 12""£15.00 + 15""£18.00 + Seafood Pizza  Tuna, prawns & onion Seafood 10""£12.00 + 12""£15.00 + 15""£18.00 + Miami Dolphin Pizza  Tuna, sweetcorn & onion 10""£12.00 + 12""£15.00 + 15""£18.00 + Bucking Bronco Pizza  Spicy sausage, onion & green chillies 10""£12.00 + 12""£15.00 + 15""£18.00 + Spicy Vegetarian Pizza  Green chillies, jalapeno, sliced tomatoes & mushroom Hot Vegetarian Spicy Vegetarian 10""£12.00 + 12""£15.00 + 15""£18.00 + BBQ Pizza  BBQ base, turkey ham, onion, BBQ chicken & sweetcorn 10""£12.00 + 12""£15.00 + 15""£18.00 + Chicago Bear Pizza  Pepperoni, mushroom, green peppers & onion 10""£12.00 + 12""£15.00 + 15""£18.00 + Hot Mexican Pizza  Green chillies, pepperoni, mushroom & spicy sausage 10""£12.00 + 12""£15.00 + 15""£18.00 + Spicy Hot Pizza  Pepperoni, chilli, onion & turkey ham 10""£12.00 + 12""£15.00 + 15""£18.00 + Spicy Chicken Pizza  Chicken, mushroom & onion 10""£12.00 + 12""£15.00 + 15""£18.00 + Traditional Pizza  Turkey ham, pepperoni, mixed peppers & mushrooms 10""£12.00 + 12""£15.00 + 15""£18.00 + Meaty Pizza  Donner kebab, turkey ham & pepperoni 10""£12.00 + 12""£15.00 + 15""£18.00 + Boston Beef Pizza  Onion, mushroom, green peppers, spicy sausage, pepperoni, turkey ham, green chillies & lamb 10""£14.00 + 12""£19.00 + 15""£24.00 + Mario's Special Pizza  Pepperoni, mushroom, olives, turkey ham, onions, sweetcorn, green peppers & pineapple 10""£14.00 + 12""£19.00 + 15""£24.00 + "
Garlic Baguette Garlic Baguette Bread  £1.50 + Garlic Baguette Bread with Cheese  £2.00 + 
"Garlic Pizza 7"" Garlic Pizza Bread with Cheese  £2.50 + "
"Burgers Served with salad & sauce Beef Burger  Half Pounder£4.00 + Quarter Pounder£3.00 + Cheeseburger  Half Pounder£4.00 + Quarter Pounder£3.00 + Chilli Burger  Half Pounder£4.00 + Quarter Pounder£3.00 + Garlic Burger  Half Pounder£4.00 + Quarter Pounder£3.00 + Hawaiian Burger  Half Pounder£4.00 + Quarter Pounder£3.00 + Chicken Burger  Half Pounder£4.00 + Quarter Pounder£3.00 + Vegetable Burger  Half Pounder£4.00 + Quarter Pounder£3.00 + New York Burger  Cheese, chopped mushroom, salad, mayonnaise & ketchup Half Pounder£4.30 + Quarter Pounder£3.30 + All American Burger  Cheese pineapple, salad, mayonnaise & ketchup Half Pounder£4.30 + Quarter Pounder£3.30 + Triple Burger  £4.80 + "
"Kebabs Served with salad & sauce Donner Kebab  Large£6.50 + Medium£5.50 + X-Large£7.20 + Chicken Kebab  Large£6.50 + Medium£5.50 + X-Large£7.20 + Mixed Kebab  Large£6.50 + Medium£5.50 + X-Large£7.20 + Chicken Shish Kebab  Large£7.50 + Medium£6.80 + Small£5.80 + Marios Special Kebab  Burger & mixed kebab, 3 pieces chicken wings  Separate portion of salad, 3 dips & 2 pitta bread £10.00 + Donner Meat & Chips  Large£6.50 + Medium£5.50 + Chicken Meat & Chips  Large£6.50 + Medium£5.50 + "
Roly Poly Donner Roly Poly  Large£3.80 + Medium£2.80 + Chicken Roly Poly  Large£3.80 + Medium£2.80 + Vegetable Roly Poly  Large£3.80 + Medium£2.80 + Mixed Roly Poly  Large£3.80 + Medium£2.80 + 
Chicken Wings 4 Pieces of Chicken Wings  Regular£1.50 + With Chips & Drink£2.80 + 6 Pieces of Chicken Wings  Regular£2.00 + With Chips & Drink£3.50 + 8 Pieces of Chicken Wings  Regular£2.80 + With Chips & Drink£4.50 + 10 Pieces of Chicken Wings  £3.70 + 15 Pieces of Chicken Wings  £5.70 + 
Side Orders Potato Wedges  £1.80 + 8 Pieces Chicken Nuggets  £2.50 + Chicken Nuggets & Chips  £2.80 + Garlic Mushroom  £1.50 + 8 Pieces Onion Rings  £1.70 + Dips of Sauce  Chilli£0.50 + Garlic£0.50 + Ketchup£0.50 + Mayo£0.50 + Kebab in Bun  £2.50 + Portion of Donner Kebab  £2.50 + Portion of Chicken Donner  £2.50 + 5 Pieces Cheese Fingers  £3.00 + 
Salad Supreme Salad  £2.50 + Green Salad with Cheese  £2.00 + Green Salad  £1.50 + Coleslaw  £1.50 + Salad Wrap  £1.50 + Salad Kebab  £2.50 + 
"Chips & Things Chips  Large£1.70 + Small£1.30 + Chips, Cheese & Beans  Large£3.50 + Small£3.00 + Chips & Beans  £1.70 + Chips & Cheese  £2.20 + Curry & Chips  £2.20 + Chicken Curry & Chips  £6.00 + "
"Kids Meals All kids meals are served with chips & kids drink Kids Chicken Nuggets  4 pieces £2.50 + Kids Sausage  £2.50 + Kids 7"" Pizza with 2 Toppings  £3.50 + Kids Burger  Served with salad & sauce £2.50 + "
Desserts Viennetta Ice Cream  £2.50 + Chocolate Cakes  £2.20 + Chocolate Gateau  £2.20 + Strawberry Gateau  £2.20 + 
Drinks Coca-Cola  1.5L£2.20 + Pepsi  0.33L£0.80 + 1.5L£2.20 + 7-up  0.33L£0.80 + 1.5L£2.20 + Tango Orange  0.33L£0.80 + 1.5L£2.20 + Tango Apple  0.33L£0.80 + Tango Cherry  0.33L£0.80 + Milkshake  £1.30 + Bottle of Water  £0.70 + 
